Zip Code,Demographic,Percent,Year,BOROUGH
10037,Black,75.6,2018,MANHATTAN
10037,Asian,3.8,2018,MANHATTAN
10037,Hispanic,21.4,2018,MANHATTAN
10037,Male,45.0,2019,MANHATTAN
10037,Female,55.0,2019,MANHATTAN
10037,White,12.8,2019,MANHATTAN
10037,Black,74.7,2019,MANHATTAN
10037,Asian,3.9,2019,MANHATTAN
10037,Hispanic,21.0,2019,MANHATTAN
10038,Male,46.8,2017,MANHATTAN
10038,Female,53.2,2017,MANHATTAN
10038,White,52.3,2017,MANHATTAN
10038,Black,10.4,2017,MANHATTAN
10038,Asian,35.4,2017,MANHATTAN
10038,Hispanic,11.6,2017,MANHATTAN
10038,Male,46.9,2018,MANHATTAN
10038,Female,53.1,2018,MANHATTAN
10038,White,55.0,2018,MANHATTAN
10038,Black,10.8,2018,MANHATTAN
10038,Asian,33.7,2018,MANHATTAN
10038,Hispanic,14.1,2018,MANHATTAN
10038,Male,47.6,2019,MANHATTAN
10038,Female,52.4,2019,MANHATTAN
10038,White,57.7,2019,MANHATTAN
10038,Black,12.0,2019,MANHATTAN
10038,Asian,31.8,2019,MANHATTAN
10038,Hispanic,11.7,2019,MANHATTAN
10039,Male,44.4,2017,MANHATTAN
10039,Female,55.6,2017,MANHATTAN
10039,White,15.1,2017,MANHATTAN
10039,Black,67.1,2017,MANHATTAN
10039,Asian,2.0,2017,MANHATTAN
10039,Hispanic,30.6,2017,MANHATTAN
10039,Male,42.6,2018,MANHATTAN
10039,Female,57.4,2018,MANHATTAN
10039,White,15.7,2018,MANHATTAN
10039,Black,66.4,2018,MANHATTAN
10039,Asian,2.0,2018,MANHATTAN
10039,Hispanic,33.8,2018,MANHATTAN
10039,Male,44.7,2019,MANHATTAN
