BOROUGH,Zip Code,MonthYear,Evictions
BRONX,10472,2018-05,27
BRONX,10472,2018-06,24
BRONX,10472,2018-07,33
BRONX,10472,2018-08,36
BRONX,10472,2018-09,23
BRONX,10472,2018-10,25
BRONX,10472,2018-11,19
BRONX,10472,2018-12,17
BRONX,10472,2019-01,27
BRONX,10472,2019-02,15
BRONX,10472,2019-03,22
BRONX,10472,2019-04,27
BRONX,10472,2019-05,30
BRONX,10472,2019-06,23
BRONX,10472,2019-07,33
BRONX,10472,2019-08,19
BRONX,10472,2019-09,17
BRONX,10472,2019-10,20
BRONX,10472,2019-11,17
BRONX,10472,2019-12,16
BRONX,10473,2017-01,25
BRONX,10473,2017-02,11
BRONX,10473,2017-03,20
BRONX,10473,2017-04,17
BRONX,10473,2017-05,18
BRONX,10473,2017-06,18
BRONX,10473,2017-07,11
BRONX,10473,2017-08,14
BRONX,10473,2017-09,4
BRONX,10473,2017-10,14
BRONX,10473,2017-11,15
BRONX,10473,2017-12,6
BRONX,10473,2018-01,14
BRONX,10473,2018-02,19
BRONX,10473,2018-03,12
BRONX,10473,2018-04,15
BRONX,10473,2018-05,17
BRONX,10473,2018-06,13
BRONX,10473,2018-07,9
BRONX,10473,2018-08,15
BRONX,10473,2018-09,9
BRONX,10473,2018-10,17
BRONX,10473,2018-11,9
BRONX,10473,2018-12,10
BRONX,10473,2019-01,27
BRONX,10473,2019-02,15
BRONX,10473,2019-03,16
BRONX,10473,2019-04,12
BRONX,10473,2019-05,5
BRONX,10473,2019-06,20
BRONX,10473,2019-07,13
BRONX,10473,2019-08,11
BRONX,10473,2019-09,15
BRONX,10473,2019-10,6
BRONX,10473,2019-11,9
BRONX,10473,2019-12,13
BRONX,10474,2017-01,9
BRONX,10474,2017-02,4
BRONX,10474,2017-03,11
BRONX,10474,2017-04,8
BRONX,10474,2017-05,8
BRONX,10474,2017-06,5
BRONX,10474,2017-07,6
BRONX,10474,2017-08,4
BRONX,10474,2017-09,6
BRONX,10474,2017-10,9
BRONX,10474,2017-11,3
BRONX,10474,2017-12,6
BRONX,10474,2018-01,7
BRONX,10474,2018-02,5
BRONX,10474,2018-03,7
BRONX,10474,2018-04,4
BRONX,10474,2018-05,13
BRONX,10474,2018-06,7
BRONX,10474,2018-07,17
BRONX,10474,2018-08,5
BRONX,10474,2018-09,7
BRONX,10474,2018-10,5
BRONX,10474,2018-11,9
BRONX,10474,2018-12,5
BRONX,10474,2019-01,10
BRONX,10474,2019-02,7
BRONX,10474,2019-03,9
BRONX,10474,2019-04,6
BRONX,10474,2019-05,10
BRONX,10474,2019-06,4
BRONX,10474,2019-07,3
BRONX,10474,2019-08,9
BRONX,10474,2019-09,8
BRONX,10474,2019-10,6
BRONX,10474,2019-11,5
BRONX,10474,2019-12,1
BRONX,10475,2017-01,15
BRONX,10475,2017-02,8
BRONX,10475,2017-03,4
BRONX,10475,2017-04,3
BRONX,10475,2017-05,6
BRONX,10475,2017-06,3
BRONX,10475,2017-07,3
BRONX,10475,2017-08,11
BRONX,10475,2017-09,13
BRONX,10475,2017-10,6
BRONX,10475,2017-11,7
BRONX,10475,2017-12,4
BRONX,10475,2018-01,10
BRONX,10475,2018-02,18
BRONX,10475,2018-03,4
BRONX,10475,2018-04,8
BRONX,10475,2018-05,7
BRONX,10475,2018-06,10
BRONX,10475,2018-07,7
BRONX,10475,2018-08,4
BRONX,10475,2018-09,5
BRONX,10475,2018-10,6
BRONX,10475,2018-11,8
BRONX,10475,2018-12,5
BRONX,10475,2019-01,4
BRONX,10475,2019-02,11
BRONX,10475,2019-04,5
BRONX,10475,2019-05,10
BRONX,10475,2019-06,5
BRONX,10475,2019-07,8
BRONX,10475,2019-08,2
BRONX,10475,2019-09,13
BRONX,10475,2019-10,14
BRONX,10475,2019-11,3
BRONX,10475,2019-12,3
BROOKLYN,11201,2017-01,2
BROOKLYN,11201,2017-02,4
BROOKLYN,11201,2017-03,5
BROOKLYN,11201,2017-04,3
BROOKLYN,11201,2017-05,5
BROOKLYN,11201,2017-06,5
BROOKLYN,11201,2017-07,4
BROOKLYN,11201,2017-08,7
BROOKLYN,11201,2017-09,8
BROOKLYN,11201,2017-10,8
BROOKLYN,11201,2017-11,4
BROOKLYN,11201,2017-12,1
BROOKLYN,11201,2018-01,4
BROOKLYN,11201,2018-02,1
BROOKLYN,11201,2018-03,4
BROOKLYN,11201,2018-04,5
BROOKLYN,11201,2018-05,5
BROOKLYN,11201,2018-06,1
BROOKLYN,11201,2018-07,5
BROOKLYN,11201,2018-08,5
BROOKLYN,11201,2018-09,7
BROOKLYN,11201,2018-10,3
BROOKLYN,11201,2018-11,2
BROOKLYN,11201,2018-12,6
BROOKLYN,11201,2019-01,4
BROOKLYN,11201,2019-02,3
BROOKLYN,11201,2019-03,6
BROOKLYN,11201,2019-04,7
BROOKLYN,11201,2019-05,8
BROOKLYN,11201,2019-06,4
BROOKLYN,11201,2019-07,4
BROOKLYN,11201,2019-08,3
BROOKLYN,11201,2019-09,6
BROOKLYN,11201,2019-10,8
BROOKLYN,11201,2019-11,4
BROOKLYN,11201,2019-12,1
BROOKLYN,11203,2017-01,33
BROOKLYN,11203,2017-02,30
